motionType,ballLocation,decoy
Inside-Right,INSIDE_LEFT,Y
Inside-Right,INSIDE_RIGHT,N
Inside-Right,OUTSIDE_LEFT,Y
Inside-Right,OUTSIDE_RIGHT,N
Inside-Right,left,Y
Inside-Right,middle,Y
Inside-Right,right,N
Inside-Left,INSIDE_LEFT,N
Inside-Left,INSIDE_RIGHT,Y
Inside-Left,OUTSIDE_LEFT,N
Inside-Left,OUTSIDE_RIGHT,Y
Inside-Left,left,N
Inside-Left,middle,Y
Inside-Left,right,Y
Left-Inside,INSIDE_LEFT,N
Left-Inside,INSIDE_RIGHT,N
Left-Inside,OUTSIDE_LEFT,N
Left-Inside,OUTSIDE_RIGHT,Y
Left-Inside,left,N
Left-Inside,middle,N
Left-Inside,right,Y
Left-Outside,INSIDE_LEFT,Y
Left-Outside,INSIDE_RIGHT,Y
Left-Outside,OUTSIDE_LEFT,N
Left-Outside,OUTSIDE_RIGHT,Y
Left-Outside,left,N
Left-Outside,middle,Y
Left-Outside,right,Y
Right-Inside,INSIDE_LEFT,N
Right-Inside,INSIDE_RIGHT,N
Right-Inside,OUTSIDE_LEFT,Y
Right-Inside,OUTSIDE_RIGHT,N
Right-Inside,left,Y
Right-Inside,middle,N
Right-Inside,right,N
Right-Outside,INSIDE_LEFT,Y
Right-Outside,INSIDE_RIGHT,Y
Right-Outside,OUTSIDE_LEFT,Y
Right-Outside,OUTSIDE_RIGHT,N
Right-Outside,left,Y
Right-Outside,middle,Y
Right-Outside,right,N
Jet-Left,INSIDE_LEFT,Y
Jet-Left,INSIDE_RIGHT,Y
Jet-Left,OUTSIDE_LEFT,N
Jet-Left,OUTSIDE_RIGHT,Y
Jet-Left,left,N
Jet-Left,middle,Y
Jet-Left,right,Y
Jet-Right,INSIDE_LEFT,Y
Jet-Right,INSIDE_RIGHT,Y
Jet-Right,OUTSIDE_LEFT,Y
Jet-Right,OUTSIDE_RIGHT,N
Jet-Right,left,Y
Jet-Right,middle,Y
Jet-Right,right,N